Symbol	GSM998327	GSM998335	GSM998346	GSM998318	GSM998319	GSM998320	GSM998322	GSM998324	GSM998325	GSM998326	GSM998328	GSM998331	GSM998332	GSM998333	GSM998336	GSM998337	GSM998340	GSM998342	GSM998345	GSM998348
CLPX	-1.279	-0.95	-1.03	-0.612	0.146	-1.194	0.362	1.038	0.05	0.541	-0.021	0.623	-0.532	0.369	0.749	-0.239	1.089	-2.158	-0.393	-0.101
MRPL27	-0.232	-1.606	0.482	0.518	0.772	-0.058	3.171	-0.94	-0.182	-0.863	0.214	0.273	-1.792	0.09	-0.871	-0.197	-0.687	-1.024	0.348	-0.871
ADAM11	-0.121	-0.799	-0.696	-1.31	-1.123	-2.987	2.029	0.246	-1.394	-1.898	-1.418	-1.024	-2.036	-2.385	-2.045	-2.21	-2.086	-1.765	-0.916	-2.211
PI4K2B	1.311	1.621	1.278	1.494	1.159	0.818	-0.325	0.799	1.569	0.681	0.753	0.707	0.407	0.246	-0.077	0.979	0.762	0.533	0.424	0.213
SPRED2	1.834	1.497	1.6	2.334	1.543	1.238	0.5	2.868	1.74	0.976	0.653	1.193	-0.153	0.158	0.278	1.072	0.952	0.729	1.177	0.01
MFSD8	1.08	0.585	0.935	0.974	0.055	1.676	1.557	1.651	1.171	1.556	0.827	0.4	3.483	1.834	2.093	1.426	2.805	1.822	2.228	1.64
SSU72	1.364	1.434	1.607	1.188	1.246	0.724	3.24	0.61	1.877	1.014	1.889	1.892	1.296	0.406	0.904	-0.327	0.884	1.574	2.079	1.734
EZH2	1.766	-0.694	0.598	0.003	0.701	-0.737	1.249	1.64	0.936	-0.357	0.764	-0.347	0.588	-1.238	0.012	0.624	-0.257	0.328	1.479	0.027
PRKRA	0.294	-0.495	-0.287	0.32	0.557	-0.042	2.319	0.317	0.354	-0.126	0.246	0.509	-0.172	-1.119	-0.218	-0.088	1.289	0.446	1.423	0.268
RFNG	-0.088	-1.464	-0.526	-1.382	-1.081	-1.772	0.885	-2.161	-1.108	-1.95	-1.63	-1.315	-3.05	-2.208	-1.737	-2.819	-1.176	-2.614	-1.74	-1.761
AGR2	0.044	-0.299	0.051	1.469	0.531	-0.14	1.196	-0.109	0.461	-1.355	-0.566	-0.622	-2.911	-2.532	-1.699	-0.742	-0.925	-2.236	-1.116	-1.752
MFN2	0.225	-0.143	-0.218	-0.426	0.016	-1.264	0.616	0.502	-0.415	-0.107	0.229	-0.143	-0.872	-0.897	0.283	-0.852	-0.811	-0.46	1.045	0.235
PARVB	-2.208	-2.544	-2.174	-1.498	-2.923	-2.639	4.866	-0.754	-2.319	-3.114	-3.2	-1.795	-2.761	-2.895	-2.173	-3.003	-3.331	-3.288	-1.748	-1.689
SORBS2	1.681	0.473	0.523	0.076	-1.29	2.409	-0.631	1.195	-0.135	-0.782	0.329	0.486	-0.676	-1.7	-1.293	0.613	1.069	0.238	0.578	-0.86
NLRP9	3.177	1.324	0.364	1.708	1.698	-0.14	4.156	1.377	1.718	0.837	1.098	1.166	0.866	0.362	0.037	-0.452	0.507	2.134	-0.642	0.098
CYBB	2.422	0.404	1.879	-0.098	2.763	2.951	3.18	1.469	1.409	1.54	1.812	1.93	1.294	1.134	1.882	4.001	1.584	1.151	2.312	1.635
RASGRP1	2.628	1.619	NA	-1.223	3.264	1.028	1.759	0.853	0.568	1.23	2.722	3.137	1.587	0.967	0.996	1.082	-0.024	1.281	-1.769	1.831
FGFR1	-1.36	-1.42	-1.676	-1.296	-0.496	-1.553	0.373	-1.435	-1.222	-1.004	-1.294	-0.698	-2.387	-2.234	-2.159	-1.229	-1.701	-0.691	-1.144	-2.373
MME	2.845	1.503	3.441	0.508	1.85	0.881	0.012	-0.248	1.798	1.363	0.685	1.387	2.58	1.48	0.094	0.967	0.648	2.41	3.598	4.304
LIMD2	1.76	1.494	1.813	1.502	1.676	0.524	0.446	0.624	1.983	1.358	1.161	1.492	1.101	1.015	0.967	1.52	1.272	0.824	1.31	1.532
PDXDC1	-1.858	-0.293	0.411	-0.168	-2.228	-0.63	2.806	0.042	-1.905	-0.596	0.696	-1.259	-2.14	-1.148	-0.909	-1.156	-2.776	-2.29	-0.77	-1.173
SYK	0.939	0.343	3.198	1.063	-0.68	-2.412	1.08	1.161	1.341	-0.703	-0.449	1.568	0.289	-1.056	-0.768	-1.358	NA	-2.094	1.313	-0.529
ABHD13	0.166	0.008	0.478	1.509	0.249	0.248	1.955	1.565	-0.142	-0.606	0.403	-0.075	0.506	-0.139	-0.195	-0.455	0.514	0.429	0.722	0.204
KLF2	-0.483	-1.406	-0.066	-1.325	-1.513	0.043	0.632	0.462	-2.094	-0.506	-1.35	-1.299	-0.344	-0.191	-0.191	-0.102	-1.009	-0.41	-1.696	0.086
MAP3K1	0.391	0.063	0.016	-1.377	-3.382	-0.114	1.716	-1.22	0.026	-1.695	0.132	0.004	-1.748	-1.305	-1.084	-0.673	0.801	-0.541	0.791	-1.06
CAMK2D	0.179	0.503	1.397	-0.868	0.315	-0.128	2.359	2.335	0.958	-0.592	-1.05	-0.077	-0.203	-0.331	-0.353	-0.447	-0.929	1.073	0.033	0.719
UBR5	0.689	-0.092	0.132	0.627	0.155	0.529	1.046	0.584	0.237	0.285	0.454	0.487	0.999	-0.17	0.043	1.113	0.226	0.385	1.879	0.93
SMAD2	0.429	-0.76	-0.206	0.274	0.611	0.135	2.45	-0.005	-0.469	0.011	0.14	-0.575	-0.348	-0.897	-0.067	0.254	-0.273	0.875	0.771	1.397
UBTD2	-1.596	-1.85	-2.895	-1.568	-1.806	-1.366	0.223	-0.544	-2.632	-2.253	-0.823	-2.698	-0.767	-1.608	-1.722	-1.453	-1.149	-0.559	-1.06	-1.144
PPARA	-1.518	-1.796	-1.323	-2.047	-2.392	-2.515	0.767	-1.227	-1.851	-2.794	-2.216	-2.293	-2.376	-3.287	-3.135	-2.179	-3.046	-3.164	-2.011	-3.1
ZNF280D	1.239	-0.342	0.088	0.985	-1.503	0.755	2.108	1.237	1.295	-0.706	-0.039	-0.778	2.029	-0.313	-0.446	0.12	0.326	0.19	1.332	0.087
AMMECR1	0.925	0.337	0.768	1.257	0.959	-0.204	-0.019	1.134	0.6	0.713	0.844	0.961	1.208	0.555	0.442	0.689	1.114	0.995	0.535	1.265
OTUB2	-0.118	1.291	1.967	NA	0.863	-0.106	1.815	1.174	0.588	-0.194	-0.062	-1.468	0.182	0.006	0.044	-0.351	0.062	-0.271	1.223	-0.322
BRK1	1.797	1.742	1.525	1.254	0.779	0.857	-0.186	0.592	1.568	0.917	1.11	1.261	0.651	0.932	1.048	1.301	1.005	1.026	0.425	1.682
TBX3	-5.1	-3.589	-3.144	-4.43	-4.764	-3.83	-1.323	-2.731	-4.423	-4.792	-4.249	-4.373	-5.968	-5.36	-4.903	-5.238	-5.478	-5.536	-4.052	-4.779
VMP1	2.393	1.985	2.45	1.41	0.46	0.575	-0.201	-0.086	1.133	0.177	1.143	0.362	0.38	0.179	0.05	0.122	-0.642	1.159	0.6	1.105
NUP133	-0.642	-0.52	-0.181	-1.18	-0.412	-0.298	2.565	-1.725	-0.738	-0.445	-0.002	-0.361	-0.531	-0.359	-0.792	-0.655	-0.452	0.381	-0.358	-0.201
WDR33	2.092	2.153	1.838	0.942	0.533	0.995	0.734	-0.602	1.318	0.868	0.551	1.339	1.699	0.257	0.566	1.302	2.009	1.193	1.394	2.015
BBX	0.153	-0.942	0.231	-1.045	0.293	-0.135	2.064	-0.839	-1.81	-0.562	-0.187	-0.478	-0.399	-1.609	-0.1	-0.314	-0.641	0.337	-0.117	0.384
NCAN	0.666	2.048	2.151	1.922	1.629	1.887	-1.977	0.275	1.71	1.231	1.054	1.603	1.007	0.654	0.804	1.551	1.051	1.502	0.671	0.691
MKRN3	-0.65	0.208	0.811	0.878	-0.459	-0.979	0.835	-0.078	-0.401	-1.124	-0.422	-1.115	-1.315	-0.646	-1.443	-2.88	-2.192	-0.715	0.112	-0.844
SEZ6L	0.275	0.549	0.427	0.375	0.455	-0.036	0.638	0.594	0.842	0.287	0.21	-0.412	-0.459	-0.462	-0.372	0.068	0.658	-0.772	0.894	-0.547
GCNT1	-0.487	-0.861	-1.236	-0.383	-0.327	-1.108	0.153	-0.4	-0.083	0.184	0.811	-0.03	-0.014	-0.318	0.227	0.378	-0.473	-0.565	1.512	0.205
PLCB1	1.405	1.646	0.964	1.95	0.428	0.739	1.236	0.71	0.753	-0.024	0.604	0.148	-0.324	-0.606	-0.707	1.861	0.249	0.006	0.658	-0.088
UCN	-1.884	-0.979	-2.281	-1.296	-0.879	-0.079	1.092	0.482	-1.082	-0.733	-0.097	-0.838	-0.164	-0.504	-0.205	-0.592	-0.168	0.335	-0.849	-0.744
KCNJ1	-0.017	1.127	0.278	0.536	-0.096	-1.07	1.134	0.026	1.204	-0.526	0.043	-0.677	0.198	-0.936	-0.749	-0.373	1.069	-1.072	1.091	-0.305
GSTZ1	-2.727	-2.434	-2.909	-2.392	-2.031	-1.911	0.32	-0.265	-1.722	-1.096	-1.16	-2.091	-1.134	-0.627	-0.329	-1.339	-1.5	-2.161	-1.34	-1.029
PPP3R1	1.395	1.438	1.185	-0.314	-0.217	-0.419	2.13	0.685	0.93	0.521	1.032	0.085	2.289	1.105	0.516	0.567	2.358	1.68	1.555	1
SFSWAP	-1.004	-1.404	-0.899	-2.269	-2.059	-0.208	0.499	0.633	-2.169	-1.543	-0.663	-2.053	0.751	-0.463	-0.388	-0.192	0.351	0.096	-0.569	-1.288
TNK1	-0.57	-0.648	-0.771	-0.997	-2.33	-0.593	-0.06	0.477	-0.527	-1.04	-0.523	-0.656	-1.024	-0.751	-1.043	-1.679	-0.101	-0.772	-1.061	-0.879
MARK2	-0.831	-1.499	-1.284	-2.513	-0.026	-0.479	2.496	1.488	-1.524	0.04	0.47	-0.293	0.985	0.357	0.989	0.257	1.331	1.712	0.966	1.08
PFDN5	-0.933	-2.11	-1.44	0.284	-1.086	0.237	1.128	0.468	-1.169	-1.38	0.306	-1.459	1.282	0.425	-0.27	-0.184	1.21	1.417	-0.438	-1.909
FTH1	-0.94	0.326	1.534	2.405	0.986	-0.026	0.195	0.515	1.344	0.69	1.085	0.638	0.65	0.755	0.831	0.645	0.951	0.381	0.004	0.681
PTCH1	1.98	NA	NA	-6.99	NA	6.525	NA	2.807	0.759	-0.231	5.537	NA	5.865	1.929	4.444	NA	NA	5.483	0.552	-0.114
ARHGEF6	NA	NA	NA	NA	NA	NA	NA	NA	3.548	NA	4.046	NA	2.589	5.509	NA	8.757	NA	4.663	0.831	1.558
ELF3	NA	1.698	NA	NA	NA	NA	NA	0.374	4.86	3.051	3.373	3.539	NA	2.739	NA	NA	4.394	6.622	1.116	2.152
RHOH	NA	0.152	1.961	2.564	1.707	NA	10.687	NA	3.808	NA	3.044	1.279	2.865	2.264	3.062	5.397	2.743	3.854	5.741	2.06
SDHA	3.434	1.607	-0.177	NA	NA	9.42	NA	-1.051	1.997	NA	3.052	NA	2.208	NA	2.157	6.303	NA	NA	2.06	-0.101
RAC2	1.738	0.428	2.593	-0.122	NA	NA	NA	-0.04	-0.017	2.502	2.994	5.604	6.11	4.806	4.877	6.958	0.506	NA	2.99	3.83
MMD	-0.139	NA	0.835	2.148	4.375	6.204	10.344	0.336	3.503	-0.383	2.58	NA	2.076	1.444	1.653	7.363	NA	NA	NA	1.962
NIPSNAP3A	-2.258	-2.462	-2.481	-2.004	-3.07	-0.79	-1.072	-0.912	-2.974	-2.715	-1.22	-2.794	0.034	-0.967	-1.12	-1.387	-1.087	0.245	-1.651	-1.497
RCOR3	-1.237	-1.598	-1.019	-1.683	-2.269	-1.524	1.49	-0.723	-1.533	-1.794	-0.99	-0.118	-1.338	-1.372	-1.556	-2.461	-0.641	0.114	-0.798	-0.814
PRPF38B	-2.22	-1.484	-2.329	-2.131	-2.995	-1.278	-1.554	-0.982	-2.735	-2.121	-1.655	-2.216	-1.892	-1.853	-2.042	-2.563	-1.836	-1.015	-1.737	-1.384
EBF3	1.617	1.139	-0.444	-1.065	-0.839	-0.18	3.146	-0.306	0.565	-0.092	1.227	-0.874	-1.141	-1.793	-0.316	0.518	1.228	-1.082	0.528	-0.703
PSMB8	4.099	3.45	4.043	2.693	4.843	3.917	1.665	4.31	4.08	4.61	5.18	3.897	4.921	4.859	5.604	3.918	3.611	4.04	4.704	4.86
TBCE	0.953	0.566	1.1	-0.051	-0.91	0.155	-0.603	0.077	-0.666	-0.707	0.014	-1.235	-0.075	0.129	-0.413	-0.514	0.972	-0.147	0.747	-0.741
RGS12	2.699	2.812	3.198	2.574	2.831	1.913	-2.117	1.617	2.958	2.625	1.773	2.536	1.858	1.778	1.643	2.073	2.045	2.069	2.567	2.424
PLOD2	-5.146	-6.835	-2.925	-3.404	-3.491	-2.911	-1.155	0.163	-4.09	-4.315	-3.377	-3.876	-3.197	-3.36	-4.069	-2.968	-3.485	-3.045	-3.845	-3.748
TIMP4	0.196	1.052	-0.353	1.523	0.319	0.507	-1.407	-0.066	0.817	0.378	0.161	-0.319	-1.466	-0.352	-0.428	0.498	-0.432	-0.717	0.468	-0.751
GNB2	-1.364	-1.682	-1.423	1.376	-1.722	-3.887	-0.779	-1.082	-2.068	-2.141	-1.248	-1.923	-3.231	-2.574	-1.77	-2.95	-2.98	-3.354	-1.986	-1.436
CNBP	1.551	1.449	1.427	NA	1.016	-0.398	NA	0.482	0.863	0.414	0.791	0.686	0.308	0.213	0.123	0.637	0.221	0.904	1.095	0.612
SLC7A11	-2.761	-1.479	-2.131	NA	-3.958	-1.154	2.015	-1.516	-3.277	-2.287	-2.108	-4.2	-1.428	-2.343	-1.745	-1.759	-0.952	-1.474	-1.454	-3.377
LARP7	0.967	0.65	0.342	0.612	0.812	1.322	0.116	1.231	1.542	0.533	1.65	0.851	2.527	1.148	0.507	0.608	2.449	2.243	1.831	-0.355
NKIRAS1	1.226	-0.349	-0.206	NA	1.143	-0.539	1.967	0.347	-0.509	-0.278	0.369	-0.521	0.969	0.411	0.219	0.842	0.726	0.652	-0.01	-0.6
TRIM8	-3.468	-4.241	-3.821	NA	-4.77	-2.977	0.09	-0.981	-3.191	-2.854	-3.236	-2.337	-2.886	-2.414	-2.159	-3.397	-3.248	-3.274	-3.433	-2.555
ARMC6	-0.41	0.119	-1.02	3.091	-0.799	-2.435	1.842	-0.59	0.183	-0.708	-0.861	-0.932	-1.615	-0.943	-0.88	-0.847	-2.084	-2.019	-1.25	-0.744
YAF2	0.074	NA	2.091	0.04	-0.713	0.327	4.407	-0.926	-0.626	-0.36	-0.276	-0.191	0.256	-0.235	-0.897	0.374	0.253	0.197	1.048	-0.761
SET	1.077	0.012	1.764	-1.017	1.278	1.735	3.567	-0.256	1.287	0.245	0.734	-1.603	1.564	0.845	0.86	-0.719	1.311	1.778	0.694	0.032
BMPR1A	1.4	1.695	2.025	1.33	0.973	0.609	-0.94	0.529	2.848	0.82	0.199	0.595	0.646	1.218	0.449	1.501	1.019	0.285	1.717	0.651
REPIN1	-1.106	-0.886	-1.377	-2.192	-2.027	-2.461	-1.977	-0.72	-1.674	-1.641	-1.699	-1.324	-1.907	-1.589	-1.652	-2.332	-1.845	-1.423	-1.425	-1.161
CHAF1A	-2.995	-2.975	-3.561	-3.295	-1.556	-2.43	-3.968	-0.863	-3.338	-1.969	-0.843	-2.27	-2.861	-2.368	-1.011	-2.753	-2.691	-2.052	-1.521	-1.186
LARP4B	0.417	0.534	0.591	-0.885	-0.473	1.159	-3.263	0.683	-0.26	0.117	0.606	-0.246	1.704	0.552	0.7	0.624	1.516	1.661	1.467	1.152
ITSN2	0.64	-0.475	0.492	0.43	1.856	0.949	-1.623	0.34	0.908	1.546	3.155	0.992	1.217	1.007	1.142	1.072	1.915	1.974	2.717	1.423
PRICKLE3	-1.63	-1.813	-1.173	NA	-0.158	-1.367	-1.043	0.86	-1.133	-1.513	-1.054	-0.742	-2.654	-1.888	-1.85	-2.136	-1.555	-2.473	-1.521	-1.173
SAMD4A	0.438	-0.358	1.077	-0.989	-0.116	-0.732	0.225	-1.708	-0.023	-0.417	-0.14	-0.957	-1.697	-1.504	-0.861	-0.765	-0.8	-0.463	-0.323	-1.002
FOXA2	0.56	2.02	0.397	0.52	0.436	0.568	0.615	0.111	0.562	-1.007	1.233	1.445	-0.784	-0.095	-0.324	0.608	5.162	-0.007	-1.126	-0.687
DLGAP4	-1.292	-0.766	-0.456	NA	-0.984	-1.735	0.263	-0.87	-1.576	-1.495	-0.622	-1.391	-2.997	-1.42	-2.057	-2.303	-3.317	-1.687	-1.004	-1.722
STK10	-1.907	NA	-1.165	-0.647	0.617	-0.713	1.313	-0.674	-1.452	-0.174	-0.608	-1.992	-0.682	-0.479	-1.247	0.341	-2.887	-0.998	5.143	-0.232
FMNL1	1.324	1.315	2.032	2.177	1.783	0.684	0.559	0.548	1.907	0.924	0.739	1.623	0.231	1.083	0.14	1.267	0.525	0.774	-0.082	0.466
RB1	-0.806	-1.649	-1.199	-1.905	-1.961	0.101	-0.245	0.594	-2.984	-2.07	-1.081	-2.236	0.643	-1.243	-0.28	-0.663	-0.424	0.45	-0.041	-0.076
FAM111B	2.222	2.354	1.734	2.795	1.549	2.057	0.739	2.044	2.312	1.44	1.502	1.973	1.885	1.687	1.442	2.273	1.997	1.344	1.965	1.453
HLA-C	9.857	8.358	9.684	8.651	10.938	9.785	12.098	11.936	10.557	9.948	9.339	10.686	8.742	8.981	9.291	10.441	9.901	8.777	9.787	8.581
CXCR5	3.044	2.476	4.087	0.141	-0.199	0.243	-0.693	-0.493	1.632	2.393	1.514	2.994	0.853	1.477	0.644	-0.058	1.372	2.034	0.558	2.088
ELK3	1.125	1.301	1.247	1.359	0.497	1.437	0.57	2.178	1.782	0.853	0.28	0.902	0.264	0.84	0.273	1.299	0.976	1.277	0.239	0.062
LTB	2.588	1.463	1.171	1.002	2.086	2.113	2.016	1.153	2.32	2.61	1.765	0.875	2.011	2.245	2.393	0.94	1.401	2.961	1.383	1.461
IGF1	0.364	0.703	-0.36	-0.842	1.139	2.973	NA	1.885	0.344	1.297	-0.413	0.983	2.875	2.457	2.132	3	3.502	1.453	2.739	0.872
CHERP	-3.102	-1.184	-1.85	-1.673	-0.505	-0.491	NA	-0.606	-3.344	-0.942	-1.54	-0.907	-2.491	-0.949	-1.588	-1.355	-0.721	-1.834	-0.459	-1.404
NFKBID	0.493	0.035	0.575	-1.088	1.539	0.416	-0.61	0.515	0.587	0.689	0.953	0.824	0.009	0.281	0.335	0.377	0.64	0.795	-0.094	1.108
ITGB2	0.13	-1.378	2.834	NA	5.351	3.297	2.418	2.816	0.307	0.888	-0.995	4.981	0.388	4.906	4.74	4.051	4.326	5.372	1.211	0.517
IGFBP2	-5.971	-5.616	-4.858	-3.328	-4.777	-5.86	-0.928	-4.022	-6.663	-6.261	-6.083	-5.912	-7.73	-6.004	-6.496	-5.89	-8.055	-4.553	-4.939	-6.233
MTIF2	-2.718	-1.88	-2.245	NA	-1.24	-0.304	-3.118	0.437	-1.529	-0.823	-0.915	-0.882	0.394	0.375	0.285	-0.867	-0.026	0.099	-0.057	-1.354
HMBS	-0.173	-0.502	1.765	1.858	2.395	-0.994	0.131	2.345	1.569	0.833	-0.579	0.785	-0.147	0.16	2.083	0.449	-0.551	1.562	1.312	0.994
GATA6	1.5	2.348	1.811	1.235	1.362	0.534	0.645	1.199	1.52	0.851	2.589	0.785	0.992	0.777	0.535	0.558	0.103	2.458	3.112	2.132
ICAM5	-1.4	-1.089	-0.026	0.145	-0.794	-1.112	0.298	0.233	-0.409	0.197	-4.06	0.361	-0.026	-2.124	0.561	-0.415	0.027	0.062	-0.052	-0.052
RIN2	-0.99	-1.979	-1.542	-0.835	-0.267	-1.17	-0.763	-0.859	-1.554	-2.666	-1.957	NA	-1.455	-1.179	-0.322	-0.75	1.072	-0.8	-0.959	-1.406
CYBA	1.775	2.121	1.798	2.194	3.133	1.994	1.618	4.129	2.15	3.143	2.517	2.632	1.638	1.832	2.961	2.071	1.375	2.003	2.762	3.592
AK1	-0.966	-2.2	-2.097	-0.493	-3.109	-3.958	0.153	-2.517	-1.839	-3.771	-3.81	-3.317	-4.048	-4.357	-4.541	-3.726	-3.799	-4.055	-3.734	-3.621
SMAD1	0.474	-1.006	-0.735	-0.991	-0.347	-3.247	-0.191	-1.308	-0.398	-1.518	-1.069	-0.531	-2.912	-2.673	-0.711	-2.549	-2.641	-2.372	-1.413	-0.092
ERCC1	-1.459	-0.881	-1.569	-1.234	-0.625	-2.072	0.197	0.323	-1.419	-0.145	-1.055	-0.511	-0.628	-0.311	0.33	-0.877	-1.396	-1.46	-1.096	-0.232
TTI1	-2.443	-2.046	-2.761	-1.807	-2.089	-2.148	-2.53	-1.388	-2.255	-1.873	-2.596	-1.294	-2.389	-2.147	-1.674	-1.968	-2.599	-3.03	-2.183	-1.972
RHEB	-2.525	-2.982	-2.482	-2.364	-1.92	-1.929	-1.098	-1.942	-3.101	-2.817	-1.641	-2.988	-2.019	-1.957	-2.077	-2.836	-2.553	-1.942	-2.568	-2.072
PIP5K1B	-0.488	-0.818	0.152	-2.536	-1.568	-0.27	-3.226	0.107	-0.629	-0.697	-1.24	-1.367	-1.197	-0.969	-0.853	-0.902	-1.309	-1.782	-0.624	-0.957
PMPCB	-2.094	-2.416	-1.991	-1.892	-2.876	-1.095	-1.417	-0.53	-2.053	-1.618	-1.051	-2.545	-0.465	-0.475	-0.915	-1.401	-1.265	-0.6	-0.686	-1.606
ENDOG	-2.015	-2.965	-3.181	-2.894	-2.549	-3.852	-2.125	-2.108	-2.452	-2.034	-2.253	-3.048	-3.157	-2.549	-2.499	-3.067	-3.534	-2.384	-2.556	-2.896
RBBP6	0.659	-0.287	0.183	-1.136	0.075	-0.455	-2.177	0.499	0.247	0.471	0.448	0.355	0.165	-0.179	0.826	-0.895	0.348	-0.52	0.3	0.406
GCDH	-0.711	-1.257	1.233	0.316	0.574	-0.439	4.793	0.087	-0.531	-0.454	0.272	1.86	-0.497	-0.441	-0.494	-0.075	-1.213	-0.616	1.186	-0.65
GSPT1	-0.05	-0.002	0.018	0.219	-2.401	-1.438	-2.292	-0.703	0.542	-1.274	-2.089	-0.678	-1.744	-0.715	-0.577	-1.365	-1.723	-1.967	-1.95	-1.928
FGF7	-1.06	-1.587	-0.531	-0.09	-0.514	-0.445	2.67	-0.288	-1.611	-0.151	-1.661	-0.374	0.172	-0.289	-0.858	-0.702	2.986	0.067	0.585	-1.136
MIDN	-0.701	-0.916	-1.141	-2.04	-0.709	-0.4	3.304	0.641	-1.027	-1.291	-0.128	NA	-1.823	-1.046	-1.036	-0.435	-1.474	-1.443	-0.264	-0.866
TLR6	3.611	2.457	3.048	1.455	2.847	1.376	1.745	1.578	2.533	2.425	3.307	1.565	3.242	1.916	2.291	0.742	2.518	2.764	4.012	3.32
RBM26	0.81	0.592	0.557	-0.253	-0.75	-0.454	0.296	-0.122	0.112	-0.277	-0.686	0.526	0.201	0.652	-0.146	-0.538	1.216	-0.378	0.078	0.056
KAT7	0.017	0.351	0.127	-0.137	-0.138	-1.174	-0.312	0.106	0.119	0.368	-0.639	0.518	-0.051	-0.231	0.254	0.154	0.138	-0.761	-0.184	0.369
TMLHE	0.157	0.268	-0.255	-1.28	-1.788	-2.534	-0.836	-0.847	-0.618	-1.543	-2.3	-1.114	-1.657	-2.17	-2.115	-2.047	-2.037	-1.797	-0.946	-0.892
GPR87	-4.818	-0.219	2.243	-4.61	NA	-0.566	2.892	0.462	-1.979	-1.046	-1.812	0.105	-1.772	-0.544	-0.548	0.695	-0.967	-0.907	-0.405	-0.858
SMU1	-2.658	-0.935	-3.972	-2.007	-2.639	-3.648	-0.19	-0.656	-2.302	-1.895	-2.285	-1.822	-1.758	-1.57	-1.755	-2.531	-1.417	-0.945	-1.077	-2.221
SUN1	-1.864	-2.391	-2.185	-2.085	-3.26	-1.42	-1.251	-1.237	-3.048	-2.701	-1.708	-2.624	-0.938	-2.343	-2.091	-2.457	-2.075	-1.8	-2.36	-1.795
CABIN1	2.365	2.284	2.212	2.174	1.771	-0.222	-1.314	0.138	1.83	1.336	0.495	1.2	0.224	0.047	-0.021	0.221	-0.528	0.138	1.28	1.113
SMAD2	-0.049	1.165	0.434	0.538	0.08	0.084	-0.359	0.039	0.884	-0.224	-0.757	-0.044	-0.121	-0.643	-0.657	-0.626	-0.655	0.297	0.536	-0.186
CIT	-3.051	-3.529	-4.311	-2.587	-2.462	-2.612	-0.716	-1.982	-2.777	-2.896	-3.173	-1.982	-2.988	-1.804	-1.813	-2.507	-2.897	-2.592	-2.765	-2.332
MRI1	-0.27	-1.221	-0.834	-1.114	-1.414	-1.148	-3.019	-0.668	-0.562	-1.18	-0.944	-1.322	-1.573	-1.48	-1.447	-0.95	-1.522	-0.825	-0.9	-1.372
