Symbol	GSM998317	GSM998318	GSM998319	GSM998320	GSM998321	GSM998322	GSM998323	GSM998324	GSM998325	GSM998326	GSM998327	GSM998328	GSM998329	GSM998330	GSM998331	GSM998332	GSM998333	GSM998334	GSM998335	GSM998336	GSM998337	GSM998338	GSM998339	GSM998340	GSM998341	GSM998342	GSM998343	GSM998344	GSM998345	GSM998346	GSM998348	GSM998349	GSM998350
ABCC6	-2.604	-0.184	-0.855	-1.366	-2.725	-0.892	-0.531	-1.954	-1.63	-2.696	-1.427	-3.656	-1.749	-1.037	-2.807	-1.4	-1.979	-1.413	-4.27	-2.257	-3.751	-2.216	-1.268	-2.915	-1.578	-2.669	-2.345	-0.635	-2.615	-0.965	-1.078	-1.438	-1.977
ABCC8	-0.651	-0.757	0.5185	0.1335	-0.827	12.125	-0.847	0.3715	-0.5015	-0.2695	-0.4725	-0.0015	-1.462	0.451	-0.0505	-0.338	-0.276	-0.4225	0.49	0.166	0.684	1.3065	0.087	-0.2785	0.5535	-0.493	-0.8555	-0.6085	-1.111	-0.5255	-0.4495	0.0455	0.3715
ABCD3	0.4265	-0.0745	-0.0895	0.648	1.0185	-3.0205	-0.658	1.2595	0.8935	0.455	1.6095	0.624	1.118	1.3365	0.899	1.0825	0.8245	-0.5295	1.4665	1.1575	0.7695	1.1115	0.804	0.9705	0.639	1.095	0.865	0.318	0.9395	1.316	1.8965	1.011	0.829
ABCD4	-1.876	-1.656	-1.237	-0.966	-0.673	-5.666	-1.134	-0.841	-2.392	-0.941	-1.415	-0.84	-1.865	-0.889	-1.715	-0.822	-0.981	-2.323	-1.063	-0.59	-1.629	-1.863	-0.831	-0.93	-0.915	-1.017	-0.595	-0.911	-1.073	-1.772	-0.637	-0.771	-0.906
ABCE1	-1.969	-1.175	-2.143	-0.272	0.33	-1.766	-1.547	-0.648	-1.436	-1.352	-1.285	-1.521	-1.295	-1.551	-1.929	0.537	-0.116	-1.794	-1.743	-1.277	-1.267	-2.12	-2.745	-0.811	-0.141	-0.436	-0.569	-1.853	-1.091	-2.404	-0.946	-0.339	-0.709
ABCF1	-1.823	-1.357	-1.261	-2.8305	-0.6295	-3.0275	-0.2785	-1.8475	-2.097	-1.9485	-2.5425	-2.1315	-0.7395	-2.0365	-1.383	-1.7735	-2.8715	-2.08	-1.557	-2.724	-2.5075	-2.344	-1.923	-3.6275	-2.772	-3.3855	-2.3085	-1.5755	-1.6925	-2.557	-2.004	-3.6245	-1.7405
ABCF2	-2.0305	-2.9515	-2.408	-2.421	-1.4225	-1.497	-1.116	-2.473	-2.6475	-2.345	-2.3785	-2.1225	-2.1095	-2.211	-2.2785	-3.126	-2.2825	-2.2655	-2.562	-2.406	-3.0015	-2.245	-2.4795	-3.1915	-1.941	-3.4755	-2.8105	-2.3045	-2.4385	-2.2465	-2.083	-2.646	-2.1795
ABCF3	-0.067	-0.872	0.081	-0.195	-0.339	-5.769	0.0115	1.5465	0.5185	0.86	-0.044	0.3445	-0.088	-0.13	0.646	-0.305	0.74	-0.1255	0.369	0.761	-0.365	0.1325	0.7595	-0.033	0.0565	-0.51	0.149	0.469	0.024	0.337	-0.2125	-0.3305	-0.3035
ABCG1	-0.26875	0.0415	0.51075	-0.835	0.2445	-1.13825	0.76575	0.104	0.0465	-0.1785	0.47475	0.04225	-0.06775	-0.34925	-0.1925	-0.318	-0.46075	-0.22475	-0.175	-0.7325	-0.53125	-1.425	0.30575	-0.0105	-0.2215	0.41375	-0.33075	-0.20675	0.30575	0.299666666666667	-0.3635	-0.64075	-0.3355
ABCG2	0.0143333333333333	-0.105333333333333	-1.51966666666667	-0.917	-1.00666666666667	1.81966666666667	-0.14	-0.560333333333333	0.318333333333333	-0.920333333333333	0.0226666666666666	-0.614666666666667	0.044	-0.124	-1.16166666666667	-1.13666666666667	-1.02233333333333	-0.104666666666667	0.712	-1.36733333333333	-0.992333333333333	-1.303	-1.11666666666667	-0.790666666666667	-2.52933333333333	-0.955	-0.560333333333333	-0.829666666666667	-1.265	0.976	-1.384	-1.029	-0.532666666666667
ABCG8	NA	-0.166	0.407	-0.957	-1.381	NA	-0.776	-1.425	0.784	-0.634	-1.752	-2.406	-3.235	-2.463	NA	-2.382	-0.6	2.47	-2.825	-2.41	1.09	-1.961	-1.304	NA	-2.89	-1.157	-0.843	-0.364	-2.177	-2.453	-0.399	NA	-0.649
ABHD1	0.923	NA	0.259	1.345	0.228	2.255	0.42	-1.084	-1.829	0.364	3.303	0.185	2.582	1.303	-0.58	0.321	0.12	1.356	2.43	0.158	0.768	-1.103	-1.468	-0.059	-0.485	0.08	-0.977	-0.874	-1.231	0.658	-0.273	1.316	-0.753
ABHD10	1.287	-0.227	0.651	2.349	2.404	-2.289	-0.666	2.379	-0.071	1.559	1.749	1.869	0.857	1.967	0.449	2.145	2.271	0.841	1.918	2.543	2.367	1.172	0.881	2.965	2.032	3.237	2.075	-0.014	1.88	1.65	2.205	2.881	2.042
ABHD11	-0.501	-3.464	-1.314	-1.177	2.793	-4.285	-1.297	-0.593	-1.716	-1.306	-2.007	-1.432	-1.213	-2.655	-1.814	-1.794	-1.221	-1.624	-1.959	-0.385	-1.826	-1.343	-1.1	-2.546	-1.591	-1.425	-1.912	-1.292	-1.824	-1.122	-1.077	-2.447	-1.624
ABHD12B	2.257	0.929	1.054	0.528	0.89	NA	-0.919	0.207	0.944	1.208	0.794	2.3	1.049	0.833	1.657	0.423	0.77	0.559	0.916	0.661	1.33	1.68	2.893	1.35	-1.403	1.304	1.214	2.122	1.396	1.23	1.416	0.168	2.068
ABHD13	1.094	1.837	0.5	1.78833333333333	0.794	1.24533333333333	-1.14466666666667	0.566333333333333	0.701666666666667	-0.294333333333333	-0.442333333333333	0.902333333333333	0.617666666666667	1.33266666666667	1.17966666666667	1.466	1.091	1.233	0.8625	0.864333333333333	0.378666666666667	-0.0863333333333333	-0.00200000000000004	1.007	1.79666666666667	1.53933333333333	0.584	0.447666666666667	1.44633333333333	0.795	1.06866666666667	1.144	0.182333333333333
ABHD14A	-0.206	-0.946	-0.554	-0.464	0.281	0.024	0.177	-0.398	-0.4555	0.4815	0.0715	-0.814	-0.8195	-1.5	-0.1295	0.052	0.097	-0.585	-0.44	0.792	0.232	-0.183	0.909	-0.073	-0.205	-0.61	-0.8155	-0.331	-0.194	-0.5965	0.174	-1.334	-0.4365
ABHD16A	-0.1915	0.564	0.804	-0.5625	-0.334	0.371	0.5545	-0.154	0.6	0.154	0.91	0.323	0.4795	0.1585	-0.1005	-0.187	-0.2065	0.895	0.218	0.081	-0.4795	-0.1375	0.264	-0.345	-0.3715	-0.076	0.2155	0.631	0.5475	0.2545	-0.01	0.0505	0.403
ABHD2	-0.321	-2.246	1.585	-0.109	-1.615	0.277	NA	0.59	-0.361	0.88	-0.651	1.407	0.353	-0.785	0.154	-0.88	0.032	0.833	0.287	0.21	-0.871	1.863	1.621	-2.43	-0.224	-0.787	-0.399	1.499	0.728	0.412	0.455	-0.638	0.216
ABHD3	-1.1875	0.418	1.0875	-1.0405	-0.545	0.494	0.5845	-0.425	-0.3375	0.1505	-0.435	-0.9645	-0.492	-0.4005	-0.5435	-0.6735	-0.6025	-0.394	-2.042	0.1575	-0.946	0.899	0.818	-0.047	0.5225	-0.3535	0.1525	0.4525	-0.448	0.025	0.198	-0.882	-0.6135
ABHD4	-4.104	-4.312	-2.105	-3.908	-1.468	-2.607	-1.07	-2.756	-2.679	-2.66	-2.239	-3.81	-3.431	-3.588	-2.49	-3.587	-3.745	-2.378	-2.136	-3.788	-2.225	-2.597	-1.443	-4.072	-3.358	-3.981	-2.953	-1.65	-3.171	-2.05	-3.167	-3.668	-2.236
ABHD5	1.60775	0.903	0.8155	0.897	1.503	-1.03566666666667	1.136	1.3685	0.94575	1.612	1.709	1.64575	2.12575	1.60075	1.4105	1.21	1.27325	1.77075	2.21875	1.20725	1.31925	1.29925	2.6835	1.2455	1.1485	1.99775	1.65	2.44175	2.3185	2.21825	2.1075	1.59525	2.0245
ABI1	2.413	1.137	1.705	2.641	2.72	-1.636	1.185	0.698	1.81	1.835	2.503	2.654	2.449	2.395	1.599	2.678	2.477	1.636	2.874	1.898	1.771	1.345	1.629	1.891	2.915	2.813	2.155	1.847	3.158	2.445	2.433	2.628	2.374
ABI2	-1.64525	-2.30425	-2.533	-1.692	-0.51175	-2.53825	-2.02825	-1.116	-3.32575	-2.5855	-1.69025	-3.42725	-1.5965	-1.757	-2.69625	-2.815	-2.87575	-2.7	-1.8985	-2.294	-1.7495	-3.14	-3.05875	-3.565	-2.19975	-2.67625	-1.39	-1.574	-2.7955	-1.65625	-2.17425	-2.462	-2.15475
ABI3	3.293	3.322	4.421	0.552	2.867	0.091	2.276	1.468	4.492	3.971	4.257	3.014	2.527	2.487	3.128	2.06	2.839	4.161	3.94	3.471	3.292	3.233	4.377	2.401	1.648	2.022	2.484	2.756	2.643	2.911	2.943	2.154	3.605
ABI3BP	0.37	1.094	-0.244	0.679	-1.855	NA	-0.577	-0.356	0.86	-0.043	0.28	-0.117	-0.446	-0.397	-0.719	-0.053	0.102	0.619	0.626	0.052	-0.105	-0.244	-0.302	-0.068	-0.305	-0.334	0.438	-0.448	-1.137	-0.509	-0.264	-0.393	-0.603
ABL1	-3.6055	-2.96733333333333	-2.78583333333333	-2.9165	-2.28	-1.399	-1.66616666666667	-2.62833333333333	-2.9425	-2.76183333333333	-2.98383333333333	-3.416	-2.3684	-2.51566666666667	-3.24266666666667	-3.44983333333333	-3.16283333333333	-3.6285	-2.41966666666667	-3.119	-3.03816666666667	-3.08283333333333	-2.48666666666667	-3.77383333333333	-2.48066666666667	-3.7875	-3.33583333333333	-2.4465	-3.34966666666667	-2.7405	-3.18133333333333	-3.04233333333333	-3.20116666666667
ABL2	0.6755	-0.4725	0.2955	-0.394	0.266	-2.2415	1.0435	-0.279	0.8005	0.034	0.3645	0.0025	-0.0205	0.256	0.371	-0.5025	-1.177	0.8495	0.4635	-0.512	-0.1675	0.6005	0.3845	-0.212	0.4755	-0.5265	0.8015	1.22	-0.0985	0.8545	-0.179	0.3635	0.1555
ABLIM1	2.09266666666667	1.068	0.76	1.29033333333333	1.356	1.81266666666667	0.238	0.92	1.463	1.395	1.725	1.72533333333333	1.74133333333333	2.417	2.55733333333333	0.916	0.984666666666667	1.59633333333333	2.01433333333333	0.665	0.804333333333333	2.56266666666667	2.68066666666667	1.65833333333333	3.278	0.305333333333333	3.28633333333333	2.45033333333333	0.641666666666667	2.66133333333333	2.129	2.487	2.78433333333333
ABR	-1.2782	-0.8248	0.444	-1.0676	-1.015	-1.5508	-0.402	-0.7958	-0.7428	-0.965	-0.9606	-0.6066	-1.2396	-0.8254	-0.9676	-1.6892	-0.8442	-1.1676	-0.8522	-1.0186	-1.1552	-0.7186	-0.3874	-0.9012	0.2582	-1.1646	-0.9288	-0.2424	-0.6342	-0.8242	-0.9622	-1.4918	-0.25
ABT1	1.808	2.556	0.745	1.017	-0.905	1.912	1.236	0.632	1.241	1.117	1.137	0.778	2.224	1.888	1.263	0.704	1.645	2.188	1.387	0.545	1.592	1.425	1.637	1.253	0.527	0.617	0.975	0.97	0.563	2.812	0.998	1.385	1.037
ABTB1	2.82566666666667	1.541	2.59466666666667	0.618333333333333	1.92333333333333	1.53166666666667	3.58533333333333	0.673333333333333	3.678	2.444	3.713	2.009	3.72266666666667	2.93533333333333	2.96933333333333	0.870666666666667	1.6	4.279	3.58566666666667	0.977333333333333	1.551	2.63	4.51533333333333	1.389	1.64866666666667	1.68266666666667	2.227	4.74633333333333	3.06433333333333	4.64	2.67666666666667	2.916	3.45466666666667
ABTB2	NA	2.009	NA	-0.988	-3.153	NA	0.033	-1.057	0.286	0.425	-1.56	0.662	-1.883	-1.412	-0.678	-1.254	-0.982	-1.371	-1.169	-0.694	NA	-0.378	-2.294	0.244	-2.916	-0.239	-0.433	0.331	0.372	0.036	-1.121	-0.728	-0.247
ACACA	0.0463333333333333	0.335	-0.929333333333333	-0.356	0.729	-0.808	0.378666666666667	0.0556666666666667	-0.374333333333333	-1.12466666666667	-0.375333333333333	-0.983	-0.09	-0.878333333333333	-0.65	-1.42866666666667	-1.595	-0.296	-0.815333333333333	-1.59766666666667	-1.05766666666667	-0.845666666666667	-0.900666666666667	-0.395333333333333	-1.25666666666667	-1.49266666666667	0.168666666666667	-1.28333333333333	-0.83	-1.92633333333333	-1.327	-1.267	-0.832333333333333
ACACB	1.046	-0.333	1.003	0.357	1.367	0.041	0.136	-0.558	-0.358	0.428	0.402	-0.39	0.317	-0.056	0.123	-0.074	0.04	0.454	-0.399	-0.096	-0.314	-0.004	-0.115	0.511	-0.135	0.068	0.35	-0.259	-0.398	0.222	-0.022	0.688	-0.248
ACAD10	-0.3735	-0.0725	-0.315	-0.90575	-0.635	0.3005	-1.0515	-0.30875	-0.4545	-0.562	-0.22225	-0.61275	-0.506	-0.45675	-0.22575	-0.4245	-0.60375	-1.401	-0.599	-0.86975	-0.3525	-0.64875	-0.84875	-0.5745	-0.63375	-0.8365	-0.79325	-0.7615	-0.72225	0.28725	-0.2825	-0.4605	-0.187
ACAD8	2.8705	1.797	2.5785	1.231	1.053	0.379	NA	2.5895	2.399	1.252	1.65	2.143	1.119	1.142	1.393	1.9465	2.6735	1.9615	2.66	1.713	1.8335	2.404	1.8965	1.015	0.619	0.221	0.8755	2.675	0.518	1.167	0.538	1.4895	2.189
ACAD9	-1.668	-2.139	-1.304	-1.679	-1.204	-0.039	-0.579	-0.86	-1.102	-0.403	-1.742	-1.422	-1.146	-1.318	-1.309	-1.391	-0.406	-1.909	-1.538	-0.145	-1.343	-1.384	-0.975	-1.241	-1.555	-1.988	-1.419	-1.358	-1.076	-1.808	-0.974	-1.402	-1.303
