Symbol	GSM620832	GSM620833	GSM620834	GSM620835	GSM620836	GSM620837	GSM620838	GSM620839	GSM620840	GSM620841	GSM620842	GSM620843	GSM620844	GSM620845	GSM620846	GSM620847	GSM620848	GSM620849	GSM620850	GSM620851	GSM620852	GSM620853	GSM620854	GSM620855	GSM620856	GSM620857	GSM620858	GSM620859	GSM620860	GSM620861	GSM620862	GSM620863	GSM620864	GSM620865	GSM620866	GSM620867	GSM620868	GSM620869
ADA	-0.091	0	-0.377	-0.329	0.927	1.754	0.304	1.769	0.953	1.558	1.476	0.74	0.508	0	1.659	0.965	1.63	1.224	1.547	0.888	1.04	1.661	1.022	1.855	1.34	0.727	0.601	1.221	1.223	1.485	1.68	1.329	1.407	1.651	0.711	0.697	1.522	0.934
ADAM10	-1.001	-1.675	-1.407	-1.709	-2.258	-1.926	-2.171	-1.976	-2.307	-1.182	-2.099	-1.2	0	-2.397	-1.931	-1.595	-2.665	-2.176	-1.483	0	-2.02	-1.959	-1.358	-2.24	0	-1.903	-1.854	-2.139	-2.157	-2.455	-1.06	-1.221	-2.673	-1.629	-1.809	-1.313	-0.873	-1.246
ADAM11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM21	0	0	0	0	0	0	0.479	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.07	-0.069	0	-0.08	0	0	0	0	-0.587	0	0.23	0	0	0	0.191	0	0	0
ADAM28	0.169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0	-0.461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	0.749	1.005	0.893	1.061	1.152	-0.156	-0.211	-0.296	0.413	-1.412	-0.239	-0.95	0.898	0.613	-0.891	-0.015	0.275	0.244	-0.703	0.283	-0.99	-1.409	-0.258	0.27	0.37	0.717	0.296	-0.469	0.253	-0.335	-0.12	-0.721	-0.913	-0.809	-1.109	-0.643	-0.913	-0.936
ADCK5	0	0.425	0	0.521	0.702	0.094	0	0	0.483	0.398	0.241	0	0	0.383	0	0.665	0.655	0	0	0	0	0.381	0	0	0	0	0	0	0.603	1.405	0.14	0	0.467	0	-0.009	0	0	0
ADCY3	-0.431	0.135	-0.557	-0.339	-0.628	0.844	0.189	0.474	1.053	0.448	0.331	0.38	0.348	0.453	0.689	0.625	-0.075	0.764	0.637	0.253	0.14	0	0.262	1.53	0.06	0.377	0.786	-0.039	0.423	0.425	0.28	0.249	0.167	0.591	0.111	0.117	0.017	0.734
ADCY4	0.579	0	0	0	1.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39	0	0	0	0	1.103	0	0.69	0	0	0	0	0	0	0
ADCY5	0	0	0	0	0.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0
ADCY6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.039	0	0	0	0
ADCY7	0.269	-0.445	-0.227	-0.019	0	0	-0.531	-1.796	-1.467	-1.442	0	-0.32	-1.912	0	-1.541	-1.215	-1.465	0	-1.393	0	-0.87	-1.829	-0.718	-1.67	0	0.017	-1.264	-0.799	-1.627	-1.795	0	-0.801	-1.923	-0.919	0	-0.723	0	-0.096
ADCY9	0	0	0	0	0	0	-0.681	0	0	-0.532	0	0	0	-0.507	0	0	0	0	0	0	0	-0.369	0	0	0	0	0	0	0	0	-0.46	0	0	0	-0.619	0	0	0
ADH5	-0.416	-0.2825	-0.687	-0.469	-0.513	0.149	-0.081	0.144	-0.587	0.423	0.236	0.54	-0.421	0.2865	0.454	0.405	-0.27	0.049	0.317	0	0.02	0.111	-0.028	-0.08	-0.39	-0.263	0.186	0.051	-0.052	-0.57	0.64	0.609	0.222	0.546	0.146	0.207	0.707	0.324
ADI1	-0.621	-1.375	-0.707	-0.809	-0.868	-1.316	-1.551	-1.306	-1.677	-0.472	-1.219	-0.74	-2.342	-1.667	-1.161	-1.135	-1.205	-1.746	-1.043	0	-1.06	-0.989	0	-1.82	0	-1.473	-1.124	-1.389	-1.487	-1.345	-1.03	-0.371	-1.243	-0.679	-1.489	-0.863	-1.073	-1.286
ADIPOQ	0	0	0	0	0	0	0.219	0	0	0	0	0	0	0.213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.28	0	0	0	0	0	0	0
ADIPOR1	1.459	2.545	2.153	2.021	3.602	1.534	0.309	0.344	1.593	0.128	-0.199	0.01	0.508	0.113	0.149	-0.035	1.105	0.654	0.727	-0.347	0.34	0.611	0.702	0.36	1.23	0.387	-0.234	0.151	0.503	0.225	0.42	-0.001	0.137	0.201	-0.329	0.467	0.127	-0.486
ADIPOR2	0.229	-0.195	-0.047	0.011	0.142	0.574	0.249	0.414	0.273	0.178	0.641	-0.02	0.208	0.473	0.349	-0.035	0.615	0.364	0.497	0.343	0.14	0.381	0.162	0.09	0.2	-0.003	0.276	0	0.203	0.675	0.58	0.119	0.437	0.411	0.391	0.237	0.117	-0.276
ADK	-0.541	0	-0.777	-0.689	-1.008	0	-0.251	-0.086	-0.587	0.318	0.321	0.31	-1.142	-0.237	0.169	0.085	-0.405	-0.036	0.037	0	-0.37	-0.109	-0.008	-0.6	-0.88	-1.203	-0.104	0.061	-0.097	-0.365	0.53	0.339	0.227	0.341	-0.319	-0.053	-0.533	-0.456
ADM	0.909	1.145	1.203	0.306	1.667	1.084	0.019	-0.558	-0.0535	0.328	-1.029	-0.605	0.539	0.593	-0.111	0.075	-0.825	-0.986	0.412	-0.7485	-0.225	0.156	0.702	1.55	2.085	1.752	0.011	-0.249	0.528	-0.8075	0.995	-0.2205	-1.163	-0.569	-1.504	-0.5065	2.107	0.579
ADM2	0.2945	0.2775	0.5015	0.4355	0.641	0.672	0.4645	0.457	0.5865	0	0.3205	0	0.618	0.5465	0.3845	0.3675	0.5475	0.547	0.2735	0.5165	0.275	0.4005	0	0.49	0	0.3135	0.458	0.4155	0.4315	0.6225	0.38	-0.0355	0.4135	0.2255	0.3455	0	0.1385	0
ADORA2A	0	0	0	0	0.462	0	-0.141	0.924	0.803	0.848	0	0	0	0.533	0.709	0	1.085	0.664	0.977	0	0	0.721	0	0	0	0	0	0.511	0	1.675	0.75	0.549	1.027	0.501	0.431	0	0	0
ADORA2B	-0.281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172	0	0	0	0	0	-0.287	0	0	0	0	0	0	0	0	0
ADORA3	0	1.275	0.473	1.851	1.872	0	0	0	0	0	1.521	0	0	1.523	0	1.195	1.835	2.584	0	0	0.39	0.291	0	0	0	0	0	0	1.323	0	0.71	0	0	0.641	0.431	0	0.097	0
ADPRH	-0.241	0	0	-0.059	0.272	0.124	0.409	0.134	0	-0.142	-0.499	0	0	0.333	-0.141	-0.135	0.185	0	-0.023	0	0.01	0	0	0.37	0	0.547	-0.064	0	0.283	0	0.12	0	-0.053	-0.149	0.071	0	0.147	0
ADSL	-0.281	-0.035	-0.127	-0.019	0.262	0.764	0.469	0.604	0.813	0.758	0.771	0.66	-0.052	1.103	0.759	0.975	0.195	0.204	0.747	0.573	0.53	0.771	0.352	0.28	0.65	0.077	0.906	0.501	0.943	0.235	0.96	0.719	0.787	0.871	0.421	0.227	0.977	0.504
AEBP1	0	0	0	0	0	0	0.699	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18	0.651	0	0	0	0	0	0	0	3.315	0	0	1.737	0	0	0	0	0
AEBP2	0	0	0	-0.149	0	0	-0.071	0	0	0	0	0.68	0	0	0	0	0	0	0	0	0.32	-0.879	0	0	0	0	0	0	-0.277	0	0	0	0	-0.529	0	0	0	0
AGA	-0.641	0	-0.537	-0.349	-1.278	0.104	-1.041	-0.146	-1.097	0.188	-0.079	-0.54	0	-0.407	0	-0.205	-0.505	-0.186	0.197	-1.307	-0.56	0.251	-0.568	-0.06	-0.08	-0.723	-0.714	-0.379	-0.887	-1.165	0.28	0.039	-0.703	-0.149	-0.909	-0.403	-0.343	-0.096
AGPAT3	-0.141	-0.095	-0.217	-0.139	-0.608	0.264	-0.081	0.044	0.363	-0.482	-0.009	-0.73	-0.572	0.413	0.119	0.005	0.005	0.064	0.047	-0.367	-0.29	-0.009	-0.138	-0.28	0.24	0.207	0.486	0.141	0.403	-0.405	-0.18	-0.361	0	-0.139	-0.429	-0.253	-0.253	-0.576
AGPS	0	0	0	0	0	-1.206	0	-0.776	0	-0.212	-0.789	-0.21	0	0	-0.471	-0.545	0	-1.286	-0.483	0	0	-0.899	-0.558	0	0	0	0	-0.979	-0.907	-1.465	-0.1	-0.121	-1.303	-0.289	-1.069	0	0.147	0
AGRN	0	0.795	0.363	0.421	1.022	0.644	0.959	0	0.973	-0.212	0.281	0	1.238	0.773	0.329	0.445	0.415	1.154	0.327	0.873	0.7	0.521	0.702	1.14	1.25	1.747	0.466	0.361	0.743	0.665	0.39	-0.531	0.237	-0.029	0.661	-0.043	0.527	0.364
AHR	-2.221	-1.0425	-2.652	-2.329	0	0	-1.2805	-1.828	-1.7635	-1.791	0	-0.985	0	-1.6085	0	-3.255	-1.7725	0	-1.5465	-1.7435	-1.445	-1.7945	-2.593	-1.64	-1.8	-1.1315	0	-1.6595	-1.8935	0	-1.48	-1.3555	-2.0415	-1.7695	-1.2045	-1.1415	-2.2065	-1.413
AIF1	-0.931	-1.595	0	-1.089	0	-1.456	-1.251	-1.376	-0.827	-1.472	-1.379	-1.42	-0.172	-1.377	-1.101	-1.325	-1.055	-1.026	-1.083	-1.807	-1.4	-1.239	-0.768	-1.52	-2.09	-0.883	-0.664	-0.629	-1.107	-0.845	-1.4	-1.141	-1.493	-1.309	-0.889	-0.393	-1.453	0
AIM2	-0.191	0	0.783	-0.339	0	1.824	1.339	1.014	0.163	1.608	0.231	1.62	1.518	0.403	1.489	0.645	0.505	0.304	1.407	0	1.03	1.311	1.882	1.9	2.06	2.437	1.676	0.881	0.643	0.195	2.26	1.179	-0.123	1.681	0.711	0.857	4.027	2.444
AK1	0.889	2.415	1.623	1.721	2.962	1.544	1.189	0.944	1.303	0.538	1.071	0.3	1.458	1.133	0.349	1.005	1.745	0.974	0.647	0	0.35	0.471	0.612	0.75	1.72	0.687	0.766	0	1.053	1.225	0.16	0.529	1.087	0.601	1.311	1.117	0.207	-0.076
AK2	-0.266	-0.68	-0.312	-0.574	-0.483	-0.511	-0.526	0.049	-0.412	-0.032	-0.0695	-0.235	-0.371	-0.507	0.239	0.035	0.075	-0.218	-0.123	0	-0.21	-0.129	0.002	-0.275	-0.53	-0.373	-0.374	0.171	-0.002	-0.325	-0.01	-0.071	0.0735	0.036	-0.424	-0.228	-0.523	-0.478
AK3	-0.531	0	-0.177	-0.329	0	0	0	-0.126	-0.687	0.628	0	1.34	0	0	0.309	0.135	0	0	-0.013	0	-0.36	0.041	-0.298	0	0	0	-0.004	-0.069	-0.837	0	0	0.929	-0.223	0.701	0	-0.013	0	0.954
AKNA	1.439	0	1.883	2.051	0.612	1.254	0.819	1.044	1.083	0.628	1.591	0.33	1.608	0.623	0.859	0.355	1.155	0	0.827	0	1.07	0.501	0.602	0.92	0	1.717	0.976	0.851	0.443	0.965	0.54	0.549	1.167	0.881	1.031	1.077	-0.783	0.514
ALCAM	-0.281	0	-0.447	-0.629	0	0	0	0	0	-0.802	0	0.15	0	0	-1.981	-1.935	0	0	-2.073	0	0	-1.659	0	0	0	0	0	-1.449	0	0	0	-0.371	0	-1.129	0	0	0	-0.026
ALOX5	0.779	0.405	0.653	0.781	1.022	-1.216	-0.421	-0.476	-0.067	-0.942	-1.289	-1.14	-0.172	-1.187	-0.771	-0.665	0.145	-0.456	-0.413	0	-0.52	-0.629	-0.108	1.18	-0.65	0.417	-0.394	-0.209	0.073	-0.365	-0.61	-0.941	-0.093	-1.209	-1.689	-0.473	-1.863	-1.426
ALPI	0	0	0	0	0	0	0	0	0	-0.352	0	0	0	0.083	0	0	0	0	0	0	-0.19	0	0	0	0	0	0	0	0	0	-0.19	0	0	0	-0.319	0	0	0
ALS2CL	0	0	0	0.3455	0.171	0.232	0.2945	0	0	-0.206	0	0	0	0	0	0	0	0	0	0	0.11	0.1805	0	0	0	0	0	0	0.0415	0	-0.01	0	0.4085	0	0.0805	0	0	0
AMACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151	0	0	0	0
AMD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.269	0	0	0	0
AMDHD2	0	0	0	0.361	0.702	0	0.009	0	0	0	0	0	0	0.253	1.049	1.265	0	0	0.587	0	0.62	0.871	0	0.88	0	0	0	0	0	0	0.24	0	0.687	0.451	0	0	0.677	0
AMFR	-0.2055	-0.2975	-0.2335	-0.2195	0.486	-0.028	0.1545	0.169	0.1765	0.074	-0.1445	-0.095	0.114	0.1865	-0.1555	0.0675	-0.3575	-0.063	0.0285	0.0415	-0.02	-0.1495	-0.029	-0.135	0.045	-0.0265	-0.052	-0.2295	0.0865	-0.1325	-0.02	-0.1605	-0.2565	-0.149	-0.0645	-0.0015	0.1535	-0.103
ANAPC1	-0.151	-0.0175	-0.0635	-0.0395	0.016	0.719	0.434	0.579	0	0.478	0.651	0.345	0	0.2865	0.599	0.615	0.38	0.369	0.552	0	0.465	0.436	0.046	0.345	0.33	0	0.641	0.286	0.593	0.43	0.59	0	0.772	0.566	0.266	0	0.347	0
ANAPC10	-2.121	0	-1.387	-1.689	0	-2.076	-1.381	-2.476	0	-0.562	-1.469	0.82	0	0	-1.151	-0.675	-2.315	0	-1.643	0	-1.02	-1.599	-1.158	0	-2.12	0	-1.154	-0.789	-2.047	0	0	0.259	-1.753	-0.389	0	-0.803	0	0.664
ANAPC13	-0.171	-0.265	0.133	-0.109	-1.028	-0.586	-0.461	-0.936	-1.367	-0.462	-1.169	-0.39	-2.182	-0.667	-0.711	-0.895	-0.935	-1.096	-0.683	-1.267	-0.61	-0.669	-0.648	-1.37	-1.12	-0.543	-0.314	-0.729	-1.127	-1.365	-0.09	-0.341	-0.933	-0.529	-0.519	-0.693	0.107	-0.516
ANAPC2	0.069	0	0.063	0	0.362	0	-0.061	0.014	0	0	0	0	0	0.063	0	0	0.105	0	0	0	0.31	0.921	0	0.31	0.29	0	0	0	0.593	0.305	0.15	0	0	0.211	0	0	0	0
ANAPC4	-0.451	-0.705	-0.757	-0.669	-1.208	-0.386	-0.121	-0.996	-0.527	-0.122	-0.349	0.52	-0.622	-0.337	-0.521	-0.145	-0.725	-1.016	-0.663	-0.567	-0.59	-0.979	-0.428	-1.52	-0.94	-0.793	-0.054	-0.389	-0.637	-0.735	-0.3	0.009	-0.593	-0.219	0.181	-0.003	0.557	0.454
ANAPC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.391	0	0	0	0
ANAPC7	0.329	0.445	0.073	-0.129	0.602	0	0.559	0.834	-0.027	0.548	0	-0.21	0	0	1.029	0.745	0.635	0.614	0.547	0	0.83	0.801	0	1.07	0	0.047	0.356	0.791	0.613	0.005	0.71	0.239	1.087	0.711	0.261	-0.053	0	-0.106
ANGPT1	0	0	0	0	0	0.894	0	0	0	0	0	0.15	0.408	0.643	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211	0	0	0	-0.161	-0.073	-0.159	0	0	0	0
ANGPT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041	0	0	0	0
ANKDD1A	-1.631	0	-1.307	-0.509	0	0	0	-1.196	0	0.568	0	0.29	0	0	-0.021	-1.365	0	0	0	0	0	-1.009	0	0	0	0	0	-1.059	0	0	0	-0.891	0	0.571	0	0	0	0
ANKFY1	0.559	0.265	0.403	0.171	0.532	0.954	1.129	0.514	0.683	-0.182	0.431	-0.04	0.818	0.773	0.319	0.355	0.755	0.324	0.617	0.473	0.33	0.251	0.622	0.53	0.94	1.397	0.576	0.801	0	0.285	0.58	0.039	0.587	0.311	0.701	0.627	0	0
ANKHD1	0	-0.2	-0.137	-0.0495	-0.079	0	0.0145	0.092	-0.0035	-0.182	0	-0.82	0	0	0	-0.275	-0.08	0	0.0035	0	0.02	-0.149	-0.024	-0.235	-0.02	-0.138	0	0	0.058	-0.315	0	-0.626	-0.0015	-0.184	0	0	-0.518	-0.821
ANKIB1	-0.371	0	-0.072	0.146	0	-0.301	0.829	-0.156	-0.682	0.778	0.191	1.455	0.004	0.063	-0.361	-0.04	-0.3525	0.084	-0.108	0.713	0.265	-0.324	0.037	-0.215	-0.26	0.487	-0.289	-0.534	-0.447	0.19	0.405	0.954	-0.438	0.2955	1.161	0.447	1.187	1.369
ANKMY2	-0.621	0	-1.027	-0.779	-1.208	-0.586	0	-0.736	0	0	-0.279	0	0	-0.417	-0.661	-0.425	0	-0.386	-0.723	0	-0.59	-1.229	0	0	0	0	0	-0.939	-0.717	0	-0.25	-0.051	-0.783	-0.289	-0.159	0	0.117	-0.226
ANKRD10	-0.336	-0.1925	-0.562	-0.244	0.076	-0.921	-0.156	-0.653	-0.6935	-0.102	-0.134	0.19	0	-0.562	-0.5355	-0.32	-0.77	-0.801	-0.933	-0.5585	-0.3	-0.5695	-0.698	-0.995	-0.84	-0.4915	-0.769	-0.5095	-1.087	-0.81	-0.39	-0.171	-1.093	-0.669	0.196	-0.558	-0.268	0.132
ANKRD12	-0.831	0	-1.017	-1.104	0	0	-0.7805	-1.543	-1.4185	-0.556	0	0.34	0	0	-1.3005	-1.965	0	0	-1.3115	0	-0.845	-2.644	-0.799	0	0	-0.7415	0	-0.9745	-2.567	0	0	-0.2355	0	-0.7845	0	-0.4465	0	0.067
ANKRD13B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223	0	0	0	0	0	0	0	2.091	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0	0
ANKRD13C	-1.351	0	0	-0.789	0	0	-0.791	0	0	-0.612	-1.339	0.19	0	-0.807	0	-1.405	0	0	0	0	-0.8	-1.459	0	0	0	0	0	0	0	0	-0.66	0	0	-1.129	0	0	0	0
ANKRD16	0.279	0	0	0.601	0	2.044	1.039	1.844	1.643	1.838	1.221	1.51	0	1.383	2.029	2.135	1.595	1.694	1.587	2.423	1.35	1.691	0	1.73	2.49	1.087	1.446	1.571	1.563	1.915	1.85	1.359	1.347	1.521	0.951	0	2.667	1.454
